"Active","Aktiv"
"Address","Adresse"
"City","Stadt"
"Code","Code"
"Contact","Kontakt"
"Country","Land"
"Could not find feature with id: %s","Konnte die Einrichtung mit der Id: %s nicht finden"
"Could not find retail store with id: %s","Konnte das Geschäft mit der Id: %s nicht finden"
"Description","Beschreibung"
"Determine location","Standort ermitteln"
"Direction","Anfahrtsbeschreibung"
"E-Mail","E-Mail"
"Fax Number","Faxnummer"
"Feature","Einrichtung"
"Features","Einrichtungen"
"Frontend","Frontend"
"Image","Bild"
"Information","Informationen"
"Latitude","Breitengrad"
"Location","Standort"
"Location Search","Standortsuche"
"Longitude","Längengrad"
"Manage Features","Einrichtung verwalten"
"Manage Retail Stores","Geschäfte verwalten"
"Map Image","Kartenbild"
"Name","Name"
"No retail stores were found.","Keine Geschäfte gefunden."
"Opening Hours","Öffnungszeiten"
"Phone Number","Telefonnummer"
"Postal Code","PLZ"
"Radius","Umkreis"
"Retail Store","Geschäft"
"Retail Stores","Geschäfte"
"Retail Store Search Result","Ergebnisse Geschäftssuche"
"Search Retail Store","Geschäft suchen"
"SEO Text","SEO Text"
"Special Opening Hours","Spezielle Öffnungszeiten"
"Store Detail Page","Filialdetailseite"
"Street","Straße"
"Successfully created feature.","Die Einrichtung wurde erfolgreich angelegt."
"Successfully created retail store.","Das Geschäft wurde erfolgreich angelegt."
"Successfully deleted feature.","Die Einrichtung wurde erfolgreich gelöscht."
"Successfully deleted retail store.","Das Geschäft wurde erfolgreich gelöscht."
"Successfully deleted %d features.","%d Einrichtungen wurde erfolgreich gelöscht."
"Successfully deleted %d retail stores.","%d Geschäfte wurde erfolgreich gelöscht."
"Successfully updated feature.","Die Einrichtung wurde erfolgreich aktualisiert."
"Successfully updated retail store.","Das Geschäft wurde erfolgreich aktualisiert."
"Template","Vorlage"
"URL Key","URL Schlüssel"
